title,category,location,price_numeric,is_bungalow,is_villa,is_apartment,is_duplex,is_house,is_land,has_parking,has_garden,has_bhk,is_furnished,is_modern,is_luxury,is_commercial,is_urgent
Bungalow House for Rent,House,"Baluwatar, Kathmandu",22500000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Bungalow House for Sale,House,"Bhaisepati, Lalitpur",61000000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Bungalow House for Sale,House,"Hattiban, Lalitpur",36900000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
3 BHK House at Civil Homes Phase V,House,"Sunakothi, Lalitpur",23000000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Luxurious Villa for Sale,House,"Budhanilkantha, Kathmandu",32000000.0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
 House for Sale,House,"Nil Barahi Mandir, Bhaktapur",15500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Duplex House for Sale,House,"Dhapasi, Kathmandu",42500000.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Exquisite property for sale,House,"Katyani Chowk, Kathmandu",65000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bungalow for Sale,House,"Gaurighat, Kathmandu",35000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Budhanilkantha, Kathmandu",28000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2 BHK House for Sale,House,"Lubhu, Lalitpur",13300000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
 House for Sale,House,"Imadol, Lalitpur",16000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Harisiddhi, Lalitpur",25000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Harisiddhi, Lalitpur",28000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Bhaisepati, Lalitpur",39900000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4 BHK House for Sale,House,"Bhaisepati, Lalitpur",49900000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
 House for Sale,House,"Lubhu, Lalitpur",17000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Bhaisepati, Lalitpur",42500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House For Sale,House,"Sanagaun, Lalitpur",17000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Bungalow House for Sale,House,"Balkot, Bhaktapur",52500000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Bageshwori, Bhaktapur",25000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Duplex House for Sale,House,"Bhangal , Kathmandu",32000000.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Tikathali, Lalitpur",25000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4 BHK House for Sale,House,"Imadol, Lalitpur",23500000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
 House for Rent,House,"Muhanpokhari, Kathmandu",20000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3 BHK House for Sale,House,"Samakhusi, Kathmandu",39000000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
 House for Sale,House,"Budhanilkantha, Kathmandu",33000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Bungalow House for Sale,House,"Chandol, Kathmandu",85000000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Bungalow House for Sale,House,"Hepali Height, Kathmandu",60300000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
House for Sale,House,"Imadol, Lalitpur",16500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4 BHK House for Sale,House,"Imadol, Lalitpur",22500000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
 House for Sale,House,"Hepali Height, Kathmandu",33000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Bungalow House for Sale,House,"Mandikhatar, Kathmandu",75000000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Imadol, Lalitpur",27500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Bojepokhari, Lalitpur",28500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Semi Furnished House for Sale,House,"Hattigaunda, Kathmandu",31500000.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
 House for Sale,House,"Tikathali, Lalitpur",27500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Imadol, Lalitpur",23500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
