title,location,district_clean,category,price_numeric,land_area_sqft,bedrooms,bathrooms,price_per_sqft,bed_bath_ratio,is_bungalow,is_villa,mentions_bhk,source,tokens,tokens_text,num_tokens
Land for Sale - Rs 3 Crore 45 Lakh,"200 meters from Alpha Supermarket 8 Budhanilkantha, Kathmandu",Kathmandu,Land,34500000.0,1317.66,5.0,4.0,26182.778561996263,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'crore', '45', 'lakh']",land sale r crore 45 lakh,6
Land for Sale - Rs 43 Lakh Per Aana,"Imadol  Lalitpur Metropolis, Lalitpur",Lalitpur,Land,16124905.7706355,1283.43,5.0,4.0,12563.915266617969,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', '43', 'lakh', 'per', 'aana']",land sale r 43 lakh per aana,7
Land for Sale - Rs 2 Crore 20 Lakh,"Tikathali  Lalitpur Metropolis, Lalitpur",Lalitpur,Land,22000000.0,787.17,5.0,4.0,27948.219571375943,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'crore', '20', 'lakh']",land sale r crore 20 lakh,6
Land for Sale - Rs 4 Crore 95 Lakh,"Imadol 3 Lalitpur Metropolis, Lalitpur",Lalitpur,Land,49500000.0,1540.12,5.0,4.0,32140.35269978963,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'crore', '95', 'lakh']",land sale r crore 95 lakh,6
Land for Sale - Rs 5 Lakh Per Aana,"Near Ashapuri Temple  8 Suryabinayak, Bhaktapur",Bhaktapur,Land,6500000.0,4449.25,5.0,4.0,1460.920379839299,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'lakh', 'per', 'aana']",land sale r lakh per aana,6
Land for Sale - Rs 24 Lakh Per Aana,"Dadhikot 3 Suryabinayak, Bhaktapur",Bhaktapur,Land,13199964.937910885,1882.37,5.0,4.0,7012.417823228635,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', '24', 'lakh', 'per', 'aana']",land sale r 24 lakh per aana,7
Land for Sale - Rs 4 Crore 10 Lakh,"Baniyatar 8 Tokha, Kathmandu",Kathmandu,Land,41000000.0,3422.5,5.0,4.0,11979.54711468225,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'crore', '10', 'lakh']",land sale r crore 10 lakh,6
Land for Sale - Rs 58 Lakh Per Aana,"Imadol  Lalitpur Metropolis, Lalitpur",Lalitpur,Land,50749872.89992695,2994.68,5.0,4.0,16946.676406135866,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', '58', 'lakh', 'per', 'aana']",land sale r 58 lakh per aana,7
Land for Sale - Rs 15 Crore,"Budhanilkanth  Kathmandu Metropolis, Kathmandu",Kathmandu,Land,150000000.0,4107.0,5.0,4.0,36523.00949598247,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', '15', 'crore']",land sale r 15 crore,5
Land for Sale - Rs 40 Lakh Per Aana,"Bhaisepati  Lalitpur Metropolis, Lalitpur",Lalitpur,Land,17999941.563184805,1540.12,5.0,4.0,11687.36303871439,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', '40', 'lakh', 'per', 'aana']",land sale r 40 lakh per aana,7
Land for Sale - Rs 32 Lakh Per Aana,"Imadol  Lalitpur Metropolis, Lalitpur",Lalitpur,Land,8799929.875821767,941.18,5.0,4.0,9349.890430971513,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', '32', 'lakh', 'per', 'aana']",land sale r 32 lakh per aana,7
Land for Sale - Rs 5 Crore 85 Lakh,"Gothatar  Kathmandu Metropolis, Kathmandu",Kathmandu,Land,58500000.0,2053.5,5.0,4.0,28487.94740686633,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'crore', '85', 'lakh']",land sale r crore 85 lakh,6
Land for Sale - Rs 3 Crore 85 Lakh,"Gothatar  Kathmandu Metropolis, Kathmandu",Kathmandu,Land,38500000.0,1540.12,5.0,4.0,24998.05209983638,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'crore', '85', 'lakh']",land sale r crore 85 lakh,6
Land for Sale - Rs 3 Crore 50 Lakh,"Gothatar  Kathmandu Metropolis, Kathmandu",Kathmandu,Land,35000000.0,1369.0,5.0,4.0,25566.106647187728,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'crore', '50', 'lakh']",land sale r crore 50 lakh,6
Land for Sale - Rs 23 Lakh Per Aana,"Thimi  Madhyapur Thimi, Bhaktapur",Bhaktapur,Land,6612441.1979547115,983.96,5.0,4.0,6720.233747260774,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', '23', 'lakh', 'per', 'aana']",land sale r 23 lakh per aana,7
Land for Sale - Rs 2 Crore 65 Lakh,"Tikathali  Lalitpur Metropolis, Lalitpur",Lalitpur,Land,26500000.0,1133.7,5.0,4.0,23374.790508952985,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'crore', '65', 'lakh']",land sale r crore 65 lakh,6
Land for Sale - Rs 43 Lakh Per Aana,"Sanothimi  Madhyapur Thimi, Bhaktapur",Bhaktapur,Land,20424905.7706355,1625.68,5.0,4.0,12563.915266617969,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', '43', 'lakh', 'per', 'aana']",land sale r 43 lakh per aana,7
Land for Sale - Rs 50 Lakh Per Aana,"Kausaltar  Madhyapur Thimi, Bhaktapur",Bhaktapur,Land,15000000.0,1026.75,5.0,4.0,14609.203798392988,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', '50', 'lakh', 'per', 'aana']",land sale r 50 lakh per aana,7
Land for Sale - Rs 42 Lakh Per Aana,"Tikathali  Lalitpur Metropolis, Lalitpur",Lalitpur,Land,12600000.0,1026.75,5.0,4.0,12271.731190650107,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', '42', 'lakh', 'per', 'aana']",land sale r 42 lakh per aana,7
Land for Sale - Rs 4 Crore 50 Lakh,"lakeside 6 Pokhara Metropolis, Kaski",Pokhara,Land,45000000.0,2224.62,5.0,4.0,20228.173800469296,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'crore', '50', 'lakh']",land sale r crore 50 lakh,6
Land for Sale - Rs 1 Crore 45 Lakh,"Lubhu  Mahalaxmi, Lalitpur",Lalitpur,Land,14500000.0,1026.75,5.0,4.0,14122.230338446554,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'crore', '45', 'lakh']",land sale r crore 45 lakh,6
Land for Sale - Rs 1 Crore 55 Lakh,"Lubhu  Mahalaxmi, Lalitpur",Lalitpur,Land,15500000.0,1026.75,5.0,4.0,15096.17725833942,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'crore', '55', 'lakh']",land sale r crore 55 lakh,6
Land for Sale - Rs 3 Crore 95 Lakh,"Bhangal height  Kathmandu Metropolis, Kathmandu",Kathmandu,Land,39500000.0,1582.9,5.0,4.0,24954.197991029123,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'crore', '95', 'lakh']",land sale r crore 95 lakh,6
Land for Sale - Rs 2 Crore 55 Lakh,"Kadaghari Durbar Cloney  Kathmandu Metropolis, Kathmandu",Kathmandu,Land,25500000.0,1026.75,5.0,4.0,24835.64645726808,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'crore', '55', 'lakh']",land sale r crore 55 lakh,6
Land for Sale - Rs 1 Crore 75 Lakh,"Mulpani  Kathmandu Metropolis, Kathmandu",Kathmandu,Land,17500000.0,1112.31,5.0,4.0,15733.024067031674,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'crore', '75', 'lakh']",land sale r crore 75 lakh,6
Land for Sale - Rs 38 Lakh Per Aana,"Hattiban  Lalitpur Metropolis, Lalitpur",Lalitpur,Land,17099944.485025566,1540.12,5.0,4.0,11102.994886778672,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', '38', 'lakh', 'per', 'aana']",land sale r 38 lakh per aana,7
Land for Sale - Rs 45 Lakh 10,"Thulo gadi 16 Bharatpur, Chitwan",Chitwan,Land,4500000.0,1822.5,5.0,4.0,2469.135802469136,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', '45', 'lakh', '10']",land sale r 45 lakh 10,6
Land for Sale - Rs 37 Lakh Per Aana,"Hattiban  Lalitpur Metropolis, Lalitpur",Lalitpur,Land,14800000.0,1369.0,5.0,4.0,10810.81081081081,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', '37', 'lakh', 'per', 'aana']",land sale r 37 lakh per aana,7
Land for Sale - Rs 5 Crore 50 Lakh,"Shital height  Lalitpur Metropolis, Lalitpur",Lalitpur,Land,55000000.0,1967.93,5.0,4.0,27948.14856219479,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'crore', '50', 'lakh']",land sale r crore 50 lakh,6
Land for Sale - Rs 3 Crore 90 Lakh,"Bhaisepatti  Lalitpur Metropolis, Lalitpur",Lalitpur,Land,39000000.0,1369.0,5.0,4.0,28487.94740686633,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'crore', '90', 'lakh']",land sale r crore 90 lakh,6
Land for Sale - Rs 4 Crore,"Chabahil 7 Kathmandu Metropolis, Kathmandu",Kathmandu,Land,40000000.0,1540.12,5.0,4.0,25972.002181648186,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'crore']",land sale r crore,4
Land for Sale - Rs 50 Lakh Per Aana,"Hattiban  Lalitpur Metropolis, Lalitpur",Lalitpur,Land,20000000.0,1369.0,5.0,4.0,14609.203798392988,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', '50', 'lakh', 'per', 'aana']",land sale r 50 lakh per aana,7
Land for Sale - Rs 36 Lakh Per Aana,"Bode  Madhyapur Thimi, Bhaktapur",Bhaktapur,Land,11924967.129291454,1133.7,5.0,4.0,10518.626734842952,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', '36', 'lakh', 'per', 'aana']",land sale r 36 lakh per aana,7
Land for Sale - Rs 7 Crore 60 Lakh,"budhanilkanth  Kathmandu Metropolis, Kathmandu",Kathmandu,Land,76000000.0,2738.0,5.0,4.0,27757.487216946676,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'crore', '60', 'lakh']",land sale r crore 60 lakh,6
Land for Sale - Rs 40 Lakh Per Aana,"Imadol  Lalitpur Metropolis, Lalitpur",Lalitpur,Land,9999941.563184807,855.62,5.0,4.0,11687.363038714391,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', '40', 'lakh', 'per', 'aana']",land sale r 40 lakh per aana,7
